level,ug_code,ug_title,code,title
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.04,Технология художественного оформления спектакля
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.05,Театроведение
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.06,Драматургия
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.01,Музыкальное искусство эстрады
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.02,Музыкально-инструментальное искусство
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.03,Вокальное искусство
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.04,Искусство народного пения
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.05,Дирижирование
bach,53.00.00,МУЗЫКАЛЬНОЕ ИСКУССТВО,53.03.06,Музыкознание и музыкально-прикладное искусство
bach,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.03.01,Дизайн
bach,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.03.02,Декоративно-прикладное искусство и народные промыслы
bach,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.03.03,Искусство костюма и текстиля
bach,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.03.04,Реставрация
bach,54.00.00,ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ,54.03.05,Традиционное прикладное искусство
spec,01.00.00,МАТЕМАТИКА И МЕХАНИКА,01.05.01,Фундаментальные математика и механика
spec,03.00.00,ФИЗИКА И АСТРОНОМИЯ,03.05.01,Астрономия
spec,03.00.00,ФИЗИКА И АСТРОНОМИЯ,03.05.02,Фундаментальная и прикладная физика
spec,04.00.00,ХИМИЯ,04.05.01,Фундаментальная и прикладная химия
spec,06.00.00,БИОЛОГИЧЕСКИЕ НАУКИ,06.05.01,Биоинженерия и биоинформатика
spec,06.00.00,БИОЛОГИЧЕСКИЕ НАУКИ,06.05.02,Фундаментальная и прикладная биология
spec,08.00.00,ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА,08.05.01,Строительство уникальных зданий и сооружений
spec,08.00.00,ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА,08.05.02,"Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей"
spec,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.05.01,Компьютерная безопасность
spec,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.05.02,Информационная безопасность телекоммуникационных систем
spec,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.05.03,Информационная безопасность автоматизированных систем
spec,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.05.04,Информационно-аналитические системы безопасности
spec,10.00.00,ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ,10.05.05,Безопасность информационных технологий в правоохранительной сфере
spec,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.05.01,Радиоэлектронные системы и комплексы
spec,11.00.00,"ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ",11.05.02,Специальные радиотехнические системы
spec,12.00.00,"ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",12.05.01,Электронные и оптико-электронные приборы и системы специального назначения
spec,14.00.00,ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ,14.05.01,Ядерные реакторы и материалы
spec,14.00.00,ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ,14.05.02,"Атомные станции: проектирование, эксплуатация и инжиниринг"
spec,14.00.00,ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ,14.05.03,Технологии разделения изотопов и ядерное топливо
spec,15.00.00,МАШИНОСТРОЕНИЕ,15.05.01,Проектирование технологических машин и комплексов
spec,16.00.00,ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ,16.05.01,Специальные системы жизнеобеспечения
spec,17.00.00,ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ,17.05.01,Боеприпасы и взрыватели
spec,17.00.00,ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ,17.05.02,"Стрелково-пушечное, артиллерийское и ракетное оружие"
spec,17.00.00,ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ,17.05.03,"Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем"
spec,18.00.00,ХИМИЧЕСКИЕ ТЕХНОЛОГИИ,18.05.01,Химическая технология энергонасыщенных материалов и изделий
spec,18.00.00,ХИМИЧЕСКИЕ ТЕХНОЛОГИИ,18.05.02,Химическая технология материалов современной энергетики
spec,20.00.00,ТЕХНОСФЕРНАЯ БЕЗОПАСНОСТЬ И ПРИРОДООБУСТРОЙСТВО,20.05.01,Пожарная безопасность
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.01,Прикладная геодезия
spec,21.00.00,"ПРИКЛАДНАЯ ГЕОЛОГИЯ, ГОРНОЕ ДЕЛО, НЕФТЕГАЗОВОЕ ДЕЛО И ГЕОДЕЗИЯ",21.05.02,Прикладная геология
